,1811-15,1816-20,1821-25,1826-30,1831-35,1836-40,1841-45???,1846-50,1850-1859,1850-54,1855-59,1860-66,1871,IMR 1881,1889-92,1899-1902,1909-1912,1919-22,1929-32,1939-42,1949-52,1959-62,1969-72
Stockholms stad,316.77,307.90,293.15,302.00,299.23,336.34,,310.11,319.00,307.90,329.80,271.00,255.50,195.7,174.9,155.7,95.1,53.3,46.1,32.7,20,16.9,9.9
Stockholms län,244.76,230.61,190.86,236.88,212.77,219.00,,203.88,178,179.80,175.70,172.80,152.50,141.7,119.9,111.8,82.9,56.8,56.1,32.2,19.3,16.1,10.1
Uppsala,208.75,194.65,167.50,181.57,182.70,201.11,,170.73,156,153.30,158.50,155.10,132.20,119.8,125,102.8,76,58.6,54.9,32.5,18.1,15.6,12.1
Södermanland,166.25,149.69,134.46,156.29,137.81,142.35,,141.75,123,121.60,125.20,131.30,113.40,101.1,100.1,90.7,62.6,51.3,50.1,34.4,20.6,16.3,11.3
Östergötland,200.49,169.40,155.52,177.22,156.77,150.11,,140.31,132,129.90,134.10,120.50,100.50,87.4,89.1,88.8,65.2,50.1,45.9,29.2,18.9,17.3,11.6
Jönköping,171.56,156.00,132.35,157.91,145.45,147.93,,139.40,139,132.70,144.50,115.40,92.80,83.2,81.4,75.9,54.3,51.1,46.8,36.2,21.3,15.2,10.8
Kronoborg,201.59,192.33,176.32,199.65,192.65,171.47,,169.17,154,157.20,150.90,137.30,107.70,105.1,96.4,83.7,56.6,50.7,43.9,36.8,21.7,15.2,13
Kalmar,193.56,157.86,144.38,174.90,175.28,156.08,,164.47,151,156.60,146.10,121.30,104.6,92.1,95.1,83.7,63,56.9,56.4,41,21.9,17.7,12.9
Gotland,200.05,151.10,144.33,144.67,155.09,145.87,,134.99,112,111.00,112.20,101.70,92.50,84.2,84.3,98.1,66.6,59.2,63.7,34.4,23.4,13.3,12.6
Blekinge,220.40,187.29,190.10,216.64,203.98,189.55,,185.03,172,177.30,167.80,151.70,127.70,132.9,122.1,111,79.7,66.9,63,37.5,21.3,20.2,10.2
Kristianstad,171.96,156.58,157.29,171.22,152.84,149.46,,136.86,135,133.50,136.00,113.00,92.20,101.4,92.3,89.5,74,59.5,55.7,38.2,24.3,16.2,8.5
Malmöhus,173.86,154.61,150.00,164.39,164.65,250.57,,129.53,123,123.00,122.70,112.50,86.60,119.6,109.6,102,82.7,61.3,56.4,39.6,23.3,18.6,12.1
Halland,208.74,164.48,151.16,191.81,174.98,185.14,,159.57,151,157.60,144.20,144.80,122.00,117.1,108.6,92.5,69.7,55.2,47.3,35.4,19.3,15.8,11.1
Göteborg&Bohus,197.53,185.03,146.68,168.11,147.13,155.35,,146.16,131,137.30,125.40,132.40,111.70,111.9,108,95.7,75.5,51.5,42.9,30,17.8,15.9,11.3
Älvsborg,169.45,142.42,133.10,149.91,142.60,153.01,,137.98,136,133.70,137.20,123.10,103.70,100.3,81.3,83.5,60.4,47.2,44.2,35.3,19.2,15.5,11.7
Skaraborg,185.27,161.15,155.74,162.73,168.76,173.45,,158.73,147,144.90,148.10,123.10,109.00,93,75.1,77.7,56.6,51.3,46.3,39.1,19.4,18.5,12.9
Värmland,149.84,158.88,127.01,132.72,129.49,134.43,,121.90,119,117.20,120.00,105.50,78.90,90.2,75.8,74,54.5,44.8,44.9,40.8,23.8,17,11.2
Örebro,180.54,181.08,156.06,179.23,157.33,163.90,,143.96,129,136.20,124.30,114.80,96.10,104.3,80.9,79.6,57.9,49.5,47.6,32.6,19.9,17.8,11.1
Västmanland,224.41,209.55,235.22,205.58,190.38,191.08,,164.80,150,148.80,151.70,137.40,131.80,128.3,104.1,89.3,63.4,53.5,49.2,32.7,21.3,14.1,12.1
Kopparberg,162.94,162.92,150.61,162.85,146.47,171.05,,151.57,151,155.10,146.70,141.90,114.60,122.4,104.5,93.1,65.1,50.7,45.4,39.4,21,15.9,12.9
Gävleborg,149.41,153.32,150.11,142.05,141.81,150.92,,138.26,129,131.50,127.00,147.30,122.9,121.5,113,103.8,74.5,61.8,62.2,39.4,23.5,17.5,12.5
Västernorrland,212.82,231.19,210.02,216.74,217.60,245.66,,174.72,166,159.30,172.20,174.10,171.90,145.6,147.3,126.8,88,79.4,72.9,47.2,21.6,14.2,9.9
Jämtland,129.83,115.60,112.56,96.78,100.31,101.59,,93.13,93,88.90,95.70,91.80,82.70,90.7,95.7,86.4,66.8,59.3,52.7,43.9,21.8,15.7,9.2
Västerbotten,239.73,226.41,195.70,195.96,195.60,160.47,,120.42,115,117.30,113.10,120.70,94.80,118.8,116.1,107.5,79.5,76.5,68.8,47,24.7,14.3,11.9
Norrbotten,245.46,246.26,200.11,232.52,194.09,211.03,,149.83,158,172.30,145.40,135.60,122.80,118.1,122.1,139.7,95.7,94.5,78.4,64.4,29.1,17.3,12.3
