from,to,15_19,20_24,25_29,30_34,35_39,40_44,45_59,context,county_code
1881,1881,,468,406,341,292,154,,Västernorrland,22
1889,1892,,452,398,338,271,148,,Västernorrland,22
1899,1902,,501,402,328,258,139,,Västernorrland,22
1909,1912,,453,352,282,222,123,,Västernorrland,22
1919,1922,,415,293,227,171,90,,Västernorrland,22
1929,1932,,284,184,139,97,51,,Västernorrland,22
1939,1942,,266,173,117,77,32,,Västernorrland,22
1949,1952,,267,162,106,63,24,,Västernorrland,22
1959,1962,,250,156,55,40,13,,Västernorrland,22
1881,1881,,464,418,375,320,212,,Västerbotten,24
1889,1892,,488,434,375,322,189,,Västerbotten,24
1899,1902,,501,438,373,313,181,,Västerbotten,24
1909,1912,,488,406,343,282,158,,Västerbotten,24
1919,1922,,456,361,302,235,134,,Västerbotten,24
1929,1932,,365,262,193,147,87,,Västerbotten,24
1939,1942,,310,219,154,109,52,,Västerbotten,24
1949,1952,,286,186,130,86,34,,Västerbotten,24
1959,1962,,262,174,99,55,20,,Västerbotten,24
1881,1881,,469,384,287,195,92,,Stockholm stad,2
1889,1892,,414,328,251,183,86,,Stockholm stad,2
1899,1902,,392,297,207,144,62,,Stockholm stad,2
1909,1912,,354,241,166,104,44,,Stockholm stad,2
1919,1922,,287,170,107,66,25,,Stockholm stad,2
1929,1932,,204,125,72,37,12,,Stockholm stad,2
1939,1942,,232,160,105,54,14,,Stockholm stad,2
1949,1952,,256,165,101,49,14,,Stockholm stad,2
1959,1962,,275,176,96,41,10,,Stockholm stad,2
1751,1755,,483,416,353,245,134,31,Sweden,
1756,1760,,451,387,325,226,122,31,Sweden,
1761,1765,,446,386,333,230,124,31,Sweden,
1766,1770,,449,376,334,233,123,31,Sweden,
1771,1775,,445,345,302,219,118,29,Sweden,
1776,1780,,454,382,333,239,135,35,Sweden,
1781,1785,,448,357,298,215,113,28,Sweden,
1786,1790,,469,367,313,212,118,28,Sweden,
1791,1795,,479,404,341,226,123,29,Sweden,
1796,1800,,459,389,332,231,117,28,Sweden,
1801,1805,,466,379,341,226,120,26,Sweden,
1806,1810,,445,369,300,214,115,27,Sweden,
1811,1815,,459,377,318,232,121,26,Sweden,
1816,1820,,458,379,319,237,132,26,Sweden,
1821,1825,,472,395,335,251,140,28,Sweden,
1826,1830,,449,373,315,238,134,26,Sweden,
1831,1835,,448,370,312,239,136,24,Sweden,
1836,1840,,448,366,307,235,130,24,Sweden,
1841,1845,,459,375,318,245,138,23,Sweden,
1846,1850,,455,366,315,245,135,23,Sweden,
1851,1855,,457,373,320,247,141,22,Sweden,
1856,1860,,483,383,334,268,154,27,Sweden,
1861,1865,,469,386,333,266,163,26,Sweden,
1866,1870,,445,368,308,250,142,24,Sweden,
1871,1875,,482,389,333,265,158,24,Sweden,
1876,1880,,468,390,333,267,153,26,Sweden,
1881,1885,,447,376,325,258,150,23,Sweden,
1886,1890,,447,372,318,253,142,22,Sweden,
1891,1895,,456,365,307,243,136,20,Sweden,
1896,1900,,467,369,297,234,129,17,Sweden,
